Name,Park Type,Elevation Range,Activities,Access Rules,Summer Traffic
Jennie Lakes Wilderness,U.S. Forest Service Wilderness,"6,640 ft – 10,365 ft","Hiking, backpacking, horsepacking, fishing, cross-country skiing",No overnight camping permit required unless entering adjacent national park,Medium-heavy to moderate
Desolation Wilderness,U.S. Forest Service Wilderness,"8,200 ft – 9,900 ft","Hiking, backpacking, fishing, camping, horseback riding",Overnight camping permit required,Medium-heavy to moderate
Mokelumne Wilderness,U.S. Forest Service Wilderness,"3,700 ft – 10,381 ft","Hiking, backpacking, fishing, horseback riding",Overnight camping permit required,Moderate
Emigrant Wilderness,U.S. Forest Service Wilderness,"3,500 ft – 11,067 ft","Hiking, backpacking, fishing, camping",Overnight camping permit required,Medium-heavy
Silver Peak Wilderness,U.S. Forest Service Wilderness,"600 ft – 3,200 ft","Hiking, backpacking, bird watching",No overnight camping permit required,Moderate
Ventana Wilderness,U.S. Forest Service Wilderness,"400 ft – 5,500 ft","Hiking, backpacking, camping",No overnight camping permit required,Medium-heavy
King Range Wilderness,BLM Wilderness Area,"0 ft – 4,000 ft","Hiking, backpacking, camping",No overnight camping permit required,Moderate
Santa Lucia Wilderness,U.S. Forest Service Wilderness,"0 ft – 5,800 ft","Hiking, backpacking, camping",No overnight camping permit required,Moderate
Snow Mountain Wilderness,BLM Wilderness Area,"800 ft – 7,056 ft","Hiking, backpacking, camping, fishing",No overnight camping permit required,Moderate
South Fork Mountain Wilderness,BLM Wilderness Area,"600 ft – 7,000 ft","Hiking, backpacking",No overnight camping permit required,Low to moderate
Yolla Bolly Middle Eel Wilderness,U.S. Forest Service Wilderness,"1,000 ft – 7,000 ft","Hiking, backpacking, camping",No overnight camping permit required,Low to moderate
Santa Rosa Wilderness,U.S. Forest Service Wilderness,"1,500 ft – 7,000 ft","Hiking, backpacking, camping",No overnight camping permit required,Moderate
Big Sur Wilderness,U.S. Forest Service Wilderness,"0 ft – 5,600 ft","Hiking, backpacking, camping",No overnight camping permit required,Medium
Berryessa Snow Mountain Wilderness,BLM Wilderness Area,"200 ft – 7,000 ft","Hiking, backpacking, camping, fishing",No overnight camping permit required,Moderate
Domeland Wilderness,U.S. Forest Service Wilderness,"3,000 ft – 9,730 ft","Hiking, backpacking, fishing, horseback riding",No overnight camping permit required,Moderate
Hoover Wilderness,U.S. Forest Service Wilderness,"7,000 ft – 12,446 ft","Hiking, backpacking, climbing, fishing",Overnight camping permit required,Medium-heavy to moderate
John Muir Wilderness,U.S. Forest Service Wilderness,"4,000 ft – 14,505 ft","Hiking, backpacking, climbing, fishing, skiing",Overnight camping permit required,Medium-heavy to moderate
Kaiser Wilderness,U.S. Forest Service Wilderness,"7,200 ft – 10,320 ft","Hiking, backpacking, fishing, camping",Overnight camping permit required,Moderate
Marble Mountain Wilderness,U.S. Forest Service Wilderness,"400 ft – 8,299 ft","Hiking, backpacking, fishing, horseback riding",No overnight camping permit required,Moderate
Golden Trout Wilderness,U.S. Forest Service Wilderness,"6,000 ft – 12,000 ft","Hiking, backpacking, fishing, horseback riding",Overnight camping permit required,Moderate
Ansel Adams Wilderness,U.S. Forest Service Wilderness,"3,500 ft – 13,157 ft","Hiking, backpacking, climbing, fishing, photography",Overnight camping permit required,Medium-heavy to moderate
Carson-Iceberg Wilderness,U.S. Forest Service Wilderness,"5,000 ft – 11,000 ft","Hiking, backpacking, horseback riding, fishing",No overnight camping permit required,Moderate
San Jacinto Wilderness,U.S. Forest Service Wilderness,"6,000 ft – 10,834 ft","Hiking, backpacking, camping",Overnight camping permit required,Medium-heavy
Cucamonga Wilderness,U.S. Forest Service Wilderness,"5,000 ft – 8,859 ft","Hiking, backpacking, camping",Overnight camping permit required,Moderate
San Mateo Canyon Wilderness,U.S. Forest Service Wilderness,"600 ft – 3,800 ft","Hiking, backpacking, camping",No overnight camping permit required,Moderate
San Rafael Wilderness,U.S. Forest Service Wilderness,"1,000 ft – 6,800 ft","Hiking, backpacking, horseback riding",No overnight camping permit required,Moderate
Agua Tibia Wilderness,U.S. Forest Service Wilderness,"1,500 ft – 4,800 ft","Hiking, backpacking",No overnight camping permit required,Moderate
Siskiyou Wilderness,U.S. Forest Service Wilderness,"1,000 ft – 6,200 ft","Hiking, backpacking, camping, botanizing",No overnight camping permit required,Low to moderate
Surprise Canyon Wilderness,BLM Wilderness Area,"1,000 ft – 6,800 ft","Hiking, backpacking",No overnight camping permit required,Low
Death Valley Wilderness,National Park Service Wilderness,"-282 ft – 11,043 ft","Hiking, backpacking, camping, wildlife viewing",No overnight camping permit required,Moderate
Joshua Tree Wilderness,National Park Service Wilderness,"1,500 ft – 5,800 ft","Hiking, camping, climbing, wildlife viewing",No overnight camping permit required,Medium-heavy
Sheep Hole Valley Wilderness,BLM Wilderness Area,"1,000 ft – 4,600 ft","Hiking, wildlife viewing",No overnight camping permit required,Low to moderate
Chemehuevi Mountains Wilderness,BLM Wilderness Area,"600 ft – 3,600 ft","Hiking, backpacking",No overnight camping permit required,Low
Big Maria Mountains Wilderness,BLM Wilderness Area,"300 ft – 2,000 ft","Hiking, rockhounding, wildlife viewing",No overnight camping permit required,Low
Whipple Mountains Wilderness,BLM Wilderness Area,"500 ft – 4,130 ft","Hiking, backpacking, wildlife viewing",No overnight camping permit required,Low
Kelso Dunes Wilderness,BLM Wilderness Area,"2,000 ft – 3,000 ft","Hiking, sand dune exploration",No overnight camping permit required,Moderate
Old Woman Mountains Wilderness,BLM Wilderness Area,"1,400 ft – 5,300 ft","Hiking, wildlife viewing",No overnight camping permit required,Low
Cadiz Dunes Wilderness,BLM Wilderness Area,"1,200 ft – 2,300 ft","Hiking, photography, wildlife viewing",No overnight camping permit required,Low
Clipper Mountain Wilderness,BLM Wilderness Area,"1,800 ft – 4,600 ft","Hiking, backpacking, wildlife viewing",No overnight camping permit required,Low
Granite Mountains Wilderness,BLM Wilderness Area,"1,200 ft – 6,800 ft","Hiking, backpacking, nature study",No overnight camping permit required,Low
Kelso Peak and Old Dad Mountains Wilderness,BLM Wilderness Area,"1,200 ft – 4,800 ft","Hiking, geological exploration",No overnight camping permit required,Low
